Country_Name,Year,Yield_Potato
Nepal,1985,64107
Nepal,1986,50989
Nepal,1987,53171
Nepal,1988,70710
Nepal,1989,78572
Nepal,1990,80601
Nepal,1991,87569
Nepal,1992,85916
Nepal,1993,84268
Nepal,1994,87539
Nepal,1995,85926
Nepal,1996,84750
Nepal,1997,89820
Nepal,1998,84664
Nepal,1999,92599
Nepal,2000,96436
Nepal,2001,101824
Nepal,2002,109018
Nepal,2003,109246
Nepal,2004,114898
Nepal,2005,118458
Nepal,2006,130896
Nepal,2007,126568
Nepal,2008,131100
Nepal,2009,133263
Nepal,2010,135841
Nepal,2011,137352
Nepal,2012,135837
Nepal,2013,136408
Nepal,2014,136955
Nepal,2015,131259
Nepal,2016,140299
Nepal,2017,138631
Nepal,2018,158142
Nepal,2019,160464
Nepal,2020,166500
Nepal,2021,167275
Pakistan,1961,74533
Pakistan,1962,92754
Pakistan,1963,90692
Pakistan,1964,90733
Pakistan,1965,92849
Pakistan,1966,90235
Pakistan,1967,88211
Pakistan,1968,93564
Pakistan,1969,109606
Pakistan,1970,105176
Pakistan,1971,113168
Pakistan,1972,110448
Pakistan,1973,103562
Pakistan,1974,101714
Pakistan,1975,104552
Pakistan,1976,112213
Pakistan,1977,123453
Pakistan,1978,98543
Pakistan,1979,104085
Pakistan,1980,104545
Pakistan,1981,103763
Pakistan,1982,105291
Pakistan,1983,100528
Pakistan,1984,102815
Pakistan,1985,99668
Pakistan,1986,98245
Pakistan,1987,98149
Pakistan,1988,96911
Pakistan,1989,100908
Pakistan,1990,104002
Pakistan,1991,104452
Pakistan,1992,113709
Pakistan,1993,122809
Pakistan,1994,133171
Pakistan,1995,139418
Pakistan,1996,134795
Pakistan,1997,112295
Pakistan,1998,136186
Pakistan,1999,165413
Pakistan,2000,169078
Pakistan,2001,164180
Pakistan,2002,164486
Pakistan,2003,168028
Pakistan,2004,176673
Pakistan,2005,180795
Pakistan,2006,133447
Pakistan,2007,193516
Pakistan,2008,164550
Pakistan,2009,202848
Pakistan,2010,226823
Pakistan,2011,219196
Pakistan,2012,183405
Pakistan,2013,218059
Pakistan,2014,181506
Pakistan,2015,234439
Pakistan,2016,224346
Pakistan,2017,214503
Pakistan,2018,236699
Pakistan,2019,248874
Pakistan,2020,245612
Pakistan,2021,250638
Sri Lanka,1961,48734
Sri Lanka,1962,22422
Sri Lanka,1963,91922
Sri Lanka,1964,59609
Sri Lanka,1965,31456
Sri Lanka,1966,86804
Sri Lanka,1967,78080
Sri Lanka,1968,97753
Sri Lanka,1969,90724
Sri Lanka,1970,96010
Sri Lanka,1971,99446
Sri Lanka,1972,88384
Sri Lanka,1973,78711
Sri Lanka,1974,84182
Sri Lanka,1975,70224
Sri Lanka,1976,89547
Sri Lanka,1977,93576
Sri Lanka,1978,101741
Sri Lanka,1979,92439
Sri Lanka,1980,112676
Sri Lanka,1981,124060
Sri Lanka,1982,124644
Sri Lanka,1983,131865
Sri Lanka,1984,114597
Sri Lanka,1985,125000
Sri Lanka,1986,113005
Sri Lanka,1987,116624
Sri Lanka,1988,120690
Sri Lanka,1989,119116
Sri Lanka,1990,110520
Sri Lanka,1991,104522
Sri Lanka,1992,110108
Sri Lanka,1993,112006
Sri Lanka,1994,110104
Sri Lanka,1995,109931
Sri Lanka,1996,127136
Sri Lanka,1997,102773
Sri Lanka,1998,111254
Sri Lanka,1999,125207
Sri Lanka,2000,132921
Sri Lanka,2001,135718
Sri Lanka,2002,134206
Sri Lanka,2003,113708
Sri Lanka,2004,148033
Sri Lanka,2005,141622
Sri Lanka,2006,148094
Sri Lanka,2007,145197
Sri Lanka,2008,145282
Sri Lanka,2009,149034
Sri Lanka,2010,135234
Sri Lanka,2011,132500
Sri Lanka,2012,155269
