Country_Name,Year,Yield_Wheat
Nepal,1982,13152
Nepal,1983,13572
Nepal,1984,13433
Nepal,1985,11811
Nepal,1986,12386
Nepal,1987,13091
Nepal,1988,12478
Nepal,1989,13851
Nepal,1990,14149
Nepal,1991,14103
Nepal,1992,13338
Nepal,1993,12460
Nepal,1994,14704
Nepal,1995,14416
Nepal,1996,15500
Nepal,1997,16072
Nepal,1998,15463
Nepal,1999,16955
Nepal,2000,17931
Nepal,2001,18063
Nepal,2002,18859
Nepal,2003,20092
Nepal,2004,20873
Nepal,2005,21344
Nepal,2006,20745
Nepal,2007,21563
Nepal,2008,22252
Nepal,2009,19338
Nepal,2010,21289
Nepal,2011,22747
Nepal,2012,24123
Nepal,2013,22902
Nepal,2014,24960
Nepal,2015,25914
Nepal,2016,23288
Nepal,2017,25538
Nepal,2018,27573
Nepal,2019,28490
Nepal,2020,30887
Nepal,2021,29917
Pakistan,1961,8222
Pakistan,1962,8178
Pakistan,1963,8303
Pakistan,1964,8292
Pakistan,1965,8631
Pakistan,1966,7597
Pakistan,1967,8110
Pakistan,1968,10727
Pakistan,1969,10744
Pakistan,1970,11710
Pakistan,1971,10833
Pakistan,1972,11887
Pakistan,1973,12465
Pakistan,1974,12480
Pakistan,1975,13202
Pakistan,1976,14222
Pakistan,1977,14310
Pakistan,1978,13156
Pakistan,1979,14879
Pakistan,1980,15680
Pakistan,1981,16431
Pakistan,1982,15651
Pakistan,1983,16781
Pakistan,1984,14819
Pakistan,1985,16123
Pakistan,1986,18806
Pakistan,1987,15593
Pakistan,1988,17343
Pakistan,1989,18655
Pakistan,1990,18249
Pakistan,1991,18410
Pakistan,1992,19910
Pakistan,1993,19466
Pakistan,1994,18935
Pakistan,1995,20811
Pakistan,1996,20184
Pakistan,1997,20533
Pakistan,1998,22376
Pakistan,1999,21698
Pakistan,2000,24907
Pakistan,2001,23254
Pakistan,2002,22621
Pakistan,2003,23878
Pakistan,2004,23733
Pakistan,2005,25858
Pakistan,2006,25186
Pakistan,2007,27156
Pakistan,2008,24514
Pakistan,2009,26568
Pakistan,2010,25528
Pakistan,2011,28328
Pakistan,2012,27138
Pakistan,2013,27957
Pakistan,2014,28241
Pakistan,2015,27256
Pakistan,2016,27790
Pakistan,2017,29729
Pakistan,2018,28505
Pakistan,2019,28059
Pakistan,2020,28675
Pakistan,2021,29956
Tajikistan,1992,9073
Tajikistan,1993,8513
Tajikistan,1994,8409
Tajikistan,1995,8882
Tajikistan,1996,8566
Tajikistan,1997,12687
Tajikistan,1998,11448
Tajikistan,1999,11486
Tajikistan,2000,11839
Tajikistan,2001,13098
Tajikistan,2002,17898
Tajikistan,2003,19716
Tajikistan,2004,19897
Tajikistan,2005,19603
Tajikistan,2006,19967
Tajikistan,2007,23500
Tajikistan,2008,19866
Tajikistan,2009,30343
Tajikistan,2010,30159
Tajikistan,2011,23359
Tajikistan,2012,26758
Tajikistan,2013,29735
Tajikistan,2014,29680
Tajikistan,2015,30320
Tajikistan,2016,30828
Tajikistan,2017,31471
Tajikistan,2018,30483
Tajikistan,2019,31705
Tajikistan,2020,31520
