Country_Name,Year,Yield_Rice
Nepal,1982,14489
Nepal,1983,20664
Nepal,1984,19678
Nepal,1985,20161
Nepal,1986,17790
Nepal,1987,20950
Nepal,1988,22635
Nepal,1989,23657
Nepal,1990,24067
Nepal,1991,22826
Nepal,1992,20481
Nepal,1993,24100
Nepal,1994,21237
Nepal,1995,23910
Nepal,1996,24554
Nepal,1997,24170
Nepal,1998,24434
Nepal,1999,24722
Nepal,2000,27028
Nepal,2001,27454
Nepal,2002,26754
Nepal,2003,26753
Nepal,2004,28573
Nepal,2005,27825
Nepal,2006,27166
Nepal,2007,25570
Nepal,2008,27750
Nepal,2009,29074
Nepal,2010,27164
Nepal,2011,29805
Nepal,2012,33120
Nepal,2013,31709
Nepal,2014,33942
Nepal,2015,33596
Nepal,2016,31543
Nepal,2017,33690
Nepal,2018,35058
Nepal,2019,37607
Nepal,2020,38048
Nepal,2021,38153
Pakistan,1961,13915
Pakistan,1962,13856
Pakistan,1963,13902
Pakistan,1964,14937
Pakistan,1965,14174
Pakistan,1966,14523
Pakistan,1967,15835
Pakistan,1968,19604
Pakistan,1969,22201
Pakistan,1970,21939
Pakistan,1971,23293
Pakistan,1972,23624
Pakistan,1973,24353
Pakistan,1974,21632
Pakistan,1975,22964
Pakistan,1976,23472
Pakistan,1977,23297
Pakistan,1978,24230
Pakistan,1979,23710
Pakistan,1980,24235
Pakistan,1981,26035
Pakistan,1982,26121
Pakistan,1983,25065
Pakistan,1984,24883
Pakistan,1985,23499
Pakistan,1986,25320
Pakistan,1987,24765
Pakistan,1988,23511
Pakistan,1989,22925
Pakistan,1990,23151
Pakistan,1991,23199
Pakistan,1992,23686
Pakistan,1993,27397
Pakistan,1994,24333
Pakistan,1995,27522
Pakistan,1996,28685
Pakistan,1997,28048
Pakistan,1998,28930
Pakistan,1999,30744
Pakistan,2000,30312
Pakistan,2001,27542
Pakistan,2002,30192
Pakistan,2003,29551
Pakistan,2004,29914
Pakistan,2005,31742
Pakistan,2006,31604
Pakistan,2007,33176
Pakistan,2008,35199
Pakistan,2009,35809
Pakistan,2010,30588
Pakistan,2011,35939
Pakistan,2012,35966
Pakistan,2013,37528
Pakistan,2014,36339
Pakistan,2015,37240
Pakistan,2016,37716
Pakistan,2017,38526
Pakistan,2018,25629
Pakistan,2019,36653
Pakistan,2020,37868
Pakistan,2021,39532
Sri Lanka,1961,18626
Sri Lanka,1962,19539
Sri Lanka,1963,19547
Sri Lanka,1964,19962
Sri Lanka,1965,17696
Sri Lanka,1966,18365
Sri Lanka,1967,21259
Sri Lanka,1968,23968
Sri Lanka,1969,25654
Sri Lanka,1970,22485
Sri Lanka,1971,20119
Sri Lanka,1972,20540
Sri Lanka,1973,19539
Sri Lanka,1974,20104
Sri Lanka,1975,19325
Sri Lanka,1976,19712
Sri Lanka,1977,21441
Sri Lanka,1978,22521
Sri Lanka,1979,24282
Sri Lanka,1980,25897
Sri Lanka,1981,26462
Sri Lanka,1982,28896
Sri Lanka,1983,31977
Sri Lanka,1984,27316
Sri Lanka,1985,30777
Sri Lanka,1986,30944
Sri Lanka,1987,31318
Sri Lanka,1988,30367
Sri Lanka,1989,29916
Sri Lanka,1990,30643
Sri Lanka,1991,30215
Sri Lanka,1992,30544
Sri Lanka,1993,31350
Sri Lanka,1994,29933
Sri Lanka,1995,31586
Sri Lanka,1996,31231
Sri Lanka,1997,32451
Sri Lanka,1998,35102
Sri Lanka,1999,32810
Sri Lanka,2000,34374
Sri Lanka,2001,35228
Sri Lanka,2002,34889
Sri Lanka,2003,33696
Sri Lanka,2004,36516
Sri Lanka,2005,35465
Sri Lanka,2006,36705
Sri Lanka,2007,38337
Sri Lanka,2008,36800
Sri Lanka,2009,38748
Sri Lanka,2010,40558
Sri Lanka,2011,35699
Sri Lanka,2012,36057
Sri Lanka,2013,38897
