"","Year","Country_Name","Country_Code","Agricultural.land....of.land.area.","Agricultural.machinery..tractors","Arable.land....of.land.area.","Fertilizer.consumption..kilograms.per.hectare.of.arable.land.","CO2.emissions..kt.","Inflation..consumer.prices..annual...","GDP.growth..annual...","Climate.deg.C.","Precipitation.mm.","Yield_Potato","Yield_Rice","Yield_Wheat"
"364",2019,"Pakistan","PAK",47.1188771,608,39.6040888,152.385293,184096.3,10.5783618,2.49763693,21.79,302.91,248874,36653,28059
"365",2020,"Pakistan","PAK",47.6377646,533.25,40.1229763,155.150889,184111.2,9.73999314,-1.2740874,21.84,324.3,245612,37868,28675
"366",2021,"Pakistan","PAK",47.0929328,458.5,39.5781445,157.286693,941.8125,9.49621056,6.48708677,21.9,348.44,250638,39532,29956
"367",1961,"Uzbekistan","UZB",49.97710393,2514,12.84952487,113.3016052,79600.3,8.350067605,-0.4558943,12.62,188.84,NA,NA,NA
"368",1962,"Uzbekistan","UZB",49.4560414,2420,12.7742873,114.9101003,81046,8.51947077,10.9527886,12.74,190.67,NA,NA,NA
"369",1963,"Uzbekistan","UZB",49.83497887,2591,12.69904973,116.5185954,82491.7,8.688873935,1.60625823,12.83,194.47,NA,NA,NA
"370",1964,"Uzbekistan","UZB",49.21391634,2690,12.62381217,118.1270905,83937.4,8.8582771,2.566812,12.86,200.16,NA,NA,NA
"371",1965,"Uzbekistan","UZB",47.94029152,2770,12.5485746,119.7355855,85383.1,9.027680265,-1.8758639,12.84,207.43,NA,NA,NA
"372",1966,"Uzbekistan","UZB",49.31922899,2783,12.47333703,121.3440806,86828.8,9.19708343,9.48945402,12.75,214.98,NA,NA,NA
"373",1967,"Uzbekistan","UZB",49.69816646,3200,12.39809947,122.9525757,88274.5,9.366486595,1.22085791,12.64,221.15,NA,NA,NA
"374",1968,"Uzbekistan","UZB",49.97710393,3600,12.3228619,124.5610708,89720.2,9.53588976,5.61985229,12.51,224.27,NA,NA,NA
"375",1969,"Uzbekistan","UZB",49.4560414,4018,12.24762433,126.1695659,91165.9,9.705292925,-5.479483,12.39,222.65,NA,NA,NA
"376",1970,"Uzbekistan","UZB",49.83497887,4500,12.17238677,127.778061,92611.6,9.87469609,-13.973729,12.3,214.82,NA,NA,NA
"377",1971,"Uzbekistan","UZB",49.21391634,5000,12.0971492,129.3865561,94057.3,7.41276596,3.3256802,12.26,202.13,NA,NA,NA
"378",1972,"Uzbekistan","UZB",49.59285381,5542,12.02191163,130.9950512,95503,6.04547976,9.5919563,12.25,188.03,NA,NA,NA
"379",1973,"Uzbekistan","UZB",48.97179128,7800,11.94667407,132.6035463,96948.7,6.12671847,-4.0882141,12.28,176.13,NA,NA,NA
"380",1974,"Uzbekistan","UZB",49.35072875,10100,11.8714365,134.2120414,98394.4,6.35736412,5.6613612,12.35,169.93,NA,NA,NA
"381",1975,"Uzbekistan","UZB",49.72966622,12400,11.79619893,135.8205365,99840.1,3.63407692,2.67305605,12.45,172.9,NA,NA,NA
"382",1976,"Uzbekistan","UZB",48.10860368,14700,11.72096137,137.4290315,101285.8,3.0148186,7.07383773,12.58,185.43,NA,NA,NA
"383",1977,"Uzbekistan","UZB",47.48754115,17000,11.6457238,139.0375266,102731.5,5.31374008,4.8016346,12.73,203.13,NA,NA,NA
"384",1978,"Uzbekistan","UZB",48.86647862,19350,11.57048623,140.6460217,104177.2,10.2978118,0.81914187,12.87,221.3,NA,NA,NA
"385",1979,"Uzbekistan","UZB",47.24541609,21700,11.49524867,142.2545168,105622.9,2.37712903,7.2339437,12.99,235.24,NA,NA,NA
"386",1980,"Uzbekistan","UZB",48.62435356,24000,11.4200111,143.8630119,107068.6,5.30560106,2.13432784,13.06,240.24,NA,NA,NA
"387",1981,"Uzbekistan","UZB",50.00329103,26300,11.34477353,145.471507,108514.3,8.40223796,3.8810464,13.09,233.63,NA,NA,NA
"388",1982,"Uzbekistan","UZB",48.3822285,28971,11.26953597,147.0800021,109960,6.1066959,4.80331002,13.08,219.19,NA,NA,NA
"389",1983,"Uzbekistan","UZB",52.76116597,28971,11.1942984,148.6884972,111405.7,2.20825621,3.34201465,13.05,201.89,NA,NA,NA
"390",1984,"Uzbekistan","UZB",51.14010344,28971,11.11906083,150.2969923,112851.4,2.00717374,4.17338256,13.01,186.66,NA,NA,NA
"391",1985,"Uzbekistan","UZB",55.51904091,28971,11.04382327,151.9054874,114297.1,3.33256493,3.77240185,12.98,178.56,NA,NA,NA
"392",1986,"Uzbekistan","UZB",54.89797838,28971,10.9685857,153.5139825,115742.8,5.66870773,2.41625686,12.99,181.61,NA,NA,NA
"393",1987,"Uzbekistan","UZB",58.27691585,28971,10.89334813,155.1224775,117188.5,7.58753639,2.83658213,13.01,193.74,NA,NA,NA
"394",1988,"Uzbekistan","UZB",57.65585332,28971,10.81811057,156.7309726,115634.2,7.04661816,9.13858228,13.04,210.36,NA,NA,NA
"395",1989,"Uzbekistan","UZB",61.03479079,28971,10.742873,158.3394677,116079.9,6.76526117,3.09129397,13.07,226.74,NA,NA,NA
"396",1990,"Uzbekistan","UZB",62.41372826,27348.66667,10.66763543,159.9479628,117767.7,9.10698497,1.60000001,13.07,238.26,NA,NA,NA
"397",1991,"Uzbekistan","UZB",63.79266573,25726.33333,10.59239787,161.5564579,118584.8,8.9019449,-0.492,13.04,240.55,NA,NA,NA
"398",1992,"Uzbekistan","UZB",65.1716032,24104,10.5171603,163.164953,113076.8,5.42347236,-11.2,12.99,233.66,85115,32029,16625
"399",1993,"Uzbekistan","UZB",64.9905971,22481.66667,10.5101081,142.250056,114592.9,8.12667639,-2.3,12.94,221.44,106157,32191,13585
"400",1994,"Uzbekistan","UZB",64.974142,20859.33333,10.503056,155.863921,108876.6,11.3951652,-5.2,12.91,207.85,107000,31622,15150
"401",1995,"Uzbekistan","UZB",64.9811942,19237,10.5195111,165.921788,98154.6,6.21750422,-0.9,12.93,196.8,95839,19747,21421
"402",1996,"Uzbekistan","UZB",64.974142,17614.66667,10.5218618,169.4191242,99600.3,7.53040641,1.7,13.03,192.23,115937,19249,20635
"403",1997,"Uzbekistan","UZB",64.9670898,15992.33333,10.5242125,195.465714,100732.3,6.99163889,5.2,13.21,195.64,120122,21347,21994
"404",1998,"Uzbekistan","UZB",64.254819,14370,10.5265632,184.100045,116263.5,6.19428023,4.3,13.44,204.44,126399,25121,26334
"405",1999,"Uzbekistan","UZB",64.2477668,12747.66667,10.528914,172.985041,116488.1,5.51352573,4.3,13.67,215.7,135629,26973,26460
"406",2000,"Uzbekistan","UZB",62.6839311,11125.33333,10.2760543,163.214286,123804.5,5.70207016,3.835,13.89,226.48,140057,35224,27174
"407",2001,"Uzbekistan","UZB",62.6848141,9503,10.2796213,160.745369,125695.4,5.5436214,4.16383825,14.05,233.76,146535,23256,31509
"408",2002,"Uzbekistan","UZB",62.0447752,7880.666667,10.2865034,160.347904,129888,5.5919964,3.97348819,14.13,235.51,158937,28820,40410
"409",2003,"Uzbekistan","UZB",61.6343602,6258.333333,10.197831,155.905512,121905.7,5.69107475,4.23262738,14.14,232.71,169593,28992,37315
"410",2004,"Uzbekistan","UZB",61.2224764,4636,10.1089129,151.85202,124840.1,5.54565431,7.44900061,14.1,227,171793,28453,37457
"411",2005,"Uzbekistan","UZB",60.8077568,5748,10.0195251,159.30158,119190.1,5.746868918,6.9500072,14.03,220.06,185541,32717,42073
"412",2006,"Uzbekistan","UZB",60.3923368,6620,9.9300218,165.203327,127356.9,5.948083526,7.45141848,13.95,213.54,194141,36927,42108
"413",2007,"Uzbekistan","UZB",59.9586223,7011,9.83751697,169.057123,122580.6,6.149298135,9.47300531,13.87,208.94,213831,41208,44786
"414",2008,"Uzbekistan","UZB",59.5457913,7293,9.74844426,175.869412,128884.1,6.350512743,9.02916102,13.8,206.53,233506,33639,44771
"415",2009,"Uzbekistan","UZB",59.1336063,8500,9.65947539,197.896699,116532.5,6.551727351,8.05093333,13.75,206.05,243710,44656,49013
"416",2010,"Uzbekistan","UZB",58.7255559,9700,9.57117818,205.389501,126240.5,6.752941959,7.59716796,13.72,207.19,239717,36098,46000
"417",2011,"Uzbekistan","UZB",58.3214206,11000,9.48351227,213.023712,128633.7,13.7797447,7.52513989,13.71,209.67,253071,51843,45560
"418",2012,"Uzbekistan","UZB",57.9072969,12200,9.39421753,211.386175,113140.2,13.2088027,7.10244489,13.73,213.2,270329,42689,47095
"419",2013,"Uzbekistan","UZB",57.5048934,13500,9.30496181,232.749199,111856.5,11.8414334,7.29655037,13.77,217.2,287407,75773,47393
"420",2014,"Uzbekistan","UZB",58.6109333,14776,9.27972023,244.661968,104872.5,9.28309356,6.87383844,13.83,220.93,305405,72971,47821
"421",2015,"Uzbekistan","UZB",57.9845665,15000,9.1715842,248.692155,99358.2,8.75188197,7.21877351,13.91,223.6,334605,60389,48175
"422",2016,"Uzbekistan","UZB",57.9805307,15200,9.15883438,253.734295,105333.9,8.1308867,5.9321508,14.01,224.42,329901,62956,48023
"423",2017,"Uzbekistan","UZB",57.9525543,15400,9.13869647,254.295152,109708.5,13.8757425,4.39527463,14.11,222.63,357016,55467,43165
"424",2018,"Uzbekistan","UZB",57.9234067,15576,9.1237372,217.958635,112720.5,17.5241797,5.87974287,14.22,217.88,336862,52464,41260
"425",2019,"Uzbekistan","UZB",58.0070593,15826,9.15549704,272.468739,117687.8,14.525736,5.98156194,14.33,210.71,346394,48466,46493
"426",2020,"Uzbekistan","UZB",58.283218,16256,9.12969477,268.256483,115577.8,12.8677297,1.99558508,14.45,201.69,339498,61877,45556
"427",2021,"Uzbekistan","UZB",58.301203,18755,9.11397403,296.838794,4186.3875,10.8492398,7.40336814,14.57,191.47,334692,68373,48245
"428",1961,"Kyrgyz Republic","KGZ",51.95546067,16350,8.978713115,20.7100592,3985.4,7.155371175,3.48522782,1.48,432.67,NA,NA,NA
"429",1962,"Kyrgyz Republic","KGZ",51.78258951,15170,8.911082657,20.6794682,4248.3,7.356585784,5.44268555,1.57,432.45,NA,NA,NA
"430",1963,"Kyrgyz Republic","KGZ",52.60971835,13976,8.8434522,20.6489676,4091.3,7.557800392,4.71156173,1.64,437.3,NA,NA,NA
"431",1964,"Kyrgyz Republic","KGZ",51.43684718,13769.26829,8.775821742,22.84451,3795.85,7.759015,3.89012644,1.67,447.64,NA,NA,NA
"432",1965,"Kyrgyz Republic","KGZ",52.26397602,13562.53659,8.708191285,22.8276878,3697.77,7.960229608,5.1212779,1.67,463.31,NA,NA,NA
"433",1966,"Kyrgyz Republic","KGZ",52.09110485,13355.80488,8.640560827,21.3808824,3985.4,8.161444216,4.52291922,1.63,481.32,NA,NA,NA
"434",1967,"Kyrgyz Republic","KGZ",51.91823369,13149.07317,8.572930369,20.5197368,3864.872857,8.362658825,4.4898965,1.57,497.62,NA,NA,NA
"435",1968,"Kyrgyz Republic","KGZ",51.74536253,12942.34146,8.505299912,21.5331858,3843.833214,8.563873433,5.17702687,1.5,508.17,NA,NA,NA
"436",1969,"Kyrgyz Republic","KGZ",52.57249136,12735.60976,8.437669454,20.5491071,3822.793571,8.765088041,4.67015637,1.43,508.86,NA,NA,NA
"437",1970,"Kyrgyz Republic","KGZ",52.3996202,12528.87805,8.370038997,27.05055762,3801.753929,8.966302649,5.29329472,1.38,496.04,NA,NA,NA
"438",1971,"Kyrgyz Republic","KGZ",53.22674904,12322.14634,8.302408539,24.7105655,3780.714286,9.167517257,5.07728778,1.36,471.72,NA,NA,NA
"439",1972,"Kyrgyz Republic","KGZ",53.05387787,12115.41463,8.234778082,23.61040235,3759.674643,9.368731865,3.83312394,1.37,442.03,NA,NA,NA
"440",1973,"Kyrgyz Republic","KGZ",51.88100671,11908.68293,8.167147624,23.81075716,3738.635,9.569946474,4.7395674,1.41,413.5,NA,NA,NA
"441",1974,"Kyrgyz Republic","KGZ",52.70813555,11701.95122,8.099517166,24.01111198,3717.595357,9.771161082,5.23953291,1.49,392.37,NA,NA,NA
"442",1975,"Kyrgyz Republic","KGZ",52.53526438,11495.21951,8.031886709,24.2114668,3696.555714,9.97237569,6.53594494,1.61,384.91,NA,NA,NA
"443",1976,"Kyrgyz Republic","KGZ",52.36239322,11288.4878,7.964256251,24.41182162,3675.516071,9.84677217,6.67190498,1.77,392.75,NA,NA,NA
"444",1977,"Kyrgyz Republic","KGZ",53.18952205,11081.7561,7.896625794,24.61217644,3654.476429,18.0577788,7.05859936,1.93,410.49,NA,NA,NA
"445",1978,"Kyrgyz Republic","KGZ",53.01665089,10875.02439,7.828995336,24.81253126,3633.436786,7.03770661,6.01378976,2.08,432.23,NA,NA,NA
"446",1979,"Kyrgyz Republic","KGZ",54.84377973,10668.29268,7.761364878,24.41182162,3612.397143,1.88201231,5.04512479,2.19,452.06,NA,NA,NA
"447",1980,"Kyrgyz Republic","KGZ",54.67090856,10461.56098,7.693734421,24.61217644,3591.3575,9.96447602,5.57178819,2.23,464.09,NA,NA,NA
"448",1981,"Kyrgyz Republic","KGZ",54.4980374,10254.82927,7.626103963,24.81253126,4041.746429,6.33177193,6.46437912,2.18,464.63,NA,NA,NA
"449",1982,"Kyrgyz Republic","KGZ",54.32516624,10048.09756,7.558473506,25.01288608,4249.278214,10.0967138,6.52145878,2.08,457.21,NA,NA,NA
"450",1983,"Kyrgyz Republic","KGZ",54.15229507,9841.365854,7.490843048,25.2132409,4456.81,8.77983719,6.01360566,1.95,446.65,NA,NA,NA
"451",1984,"Kyrgyz Republic","KGZ",53.97942391,9634.634146,7.423212591,25.41359572,4664.341786,10.0118383,6.06105936,1.83,437.77,NA,NA,NA
"452",1985,"Kyrgyz Republic","KGZ",53.80655275,9427.902439,7.355582133,25.61395054,4871.873571,12.2751729,6.55263988,1.75,435.45,NA,NA,NA
"453",1986,"Kyrgyz Republic","KGZ",53.63368158,9221.170732,7.287951675,25.81430536,5079.405357,15.9752174,7.11347821,1.73,443.56,NA,NA,NA
"454",1987,"Kyrgyz Republic","KGZ",53.46081042,9014.439024,7.220321218,26.01466018,5286.937143,11.1980166,3.29996837,1.77,459.52,NA,NA,NA
"455",1988,"Kyrgyz Republic","KGZ",53.28793925,8807.707317,7.15269076,26.215015,5494.468929,7.00995355,13.2000301,1.85,478.12,NA,NA,NA
"456",1989,"Kyrgyz Republic","KGZ",53.11506809,8600.97561,7.085060303,26.41536982,5702.000714,9.48754837,2.78975094,1.92,493.98,NA,NA,NA
"457",1990,"Kyrgyz Republic","KGZ",52.94219693,8394.243902,7.017429845,26.61572464,5909.5325,8.79001382,5.70279663,1.98,501.89,NA,NA,NA
"458",1991,"Kyrgyz Republic","KGZ",52.76932576,8187.512195,6.949799388,26.81607946,6117.064286,6.50548718,-7.9439252,1.99,496.94,NA,NA,NA
"459",1992,"Kyrgyz Republic","KGZ",52.5964546,25000,6.88216893,24.2424242,6324.596071,10.58559,-13.837838,1.97,480.3,133088,14737,27335
"460",1993,"Kyrgyz Republic","KGZ",52.7632951,26000,7.04900939,20.7100592,6532.127857,6.77699394,-15.459328,1.92,458.5,115902,9600,24555
"461",1994,"Kyrgyz Republic","KGZ",53.8529719,27176,7.05943691,20.6794682,6544.5,4.01212081,-20.085159,1.9,438.08,90906,13000,18265
"462",1995,"Kyrgyz Republic","KGZ",54.9374348,24802,7.06986444,20.6489676,4594.3,3.41478946,-5.4238219,1.91,425.63,98531,14889,17175
"463",1996,"Kyrgyz Republic","KGZ",55.4796663,19670,7.07507821,22.84451,5760.6,31.9473377,7.08450241,1.99,427.69,114302,17037,21353
"464",1997,"Kyrgyz Republic","KGZ",55.5839416,22000,7.08029197,22.8276878,5679.5,23.4354279,9.91525389,2.15,446,120636,19180,23174
"465",1998,"Kyrgyz Republic","KGZ",55.7351408,25819,7.0907195,21.3808824,6022.3,10.4573826,2.12183526,2.35,474.31,130657,20042,23578
"466",1999,"Kyrgyz Republic","KGZ",55.9228363,25930,7.13242961,20.5197368,4784.7,37.0309258,3.65578939,2.57,505.62,149513,24698,22977
"467",2000,"Kyrgyz Republic","KGZ",55.8602711,25512,7.06986444,21.5331858,4643.3,18.7007343,5.44333663,2.78,532.98,151543,30488,23420
"468",2001,"Kyrgyz Republic","KGZ",56.1835245,25307,7.00729927,20.5491071,3962.1,6.91967989,5.32162142,2.95,549.24,158221,29859,24883
"469",2002,"Kyrgyz Republic","KGZ",56.1835245,21921,7.01251303,27.05055762,4965.1,2.13420986,-0.0173246,3.05,549.74,237869,31290,23017
"470",2003,"Kyrgyz Republic","KGZ",56.5172054,22500,7.00729927,24.7105655,5579.7,2.97461295,7.0302932,3.1,537.68,157200,30069,23649
"471",2004,"Kyrgyz Republic","KGZ",56.1522419,23100,6.95516163,21.6821589,5557.9,4.11065085,7.02681242,3.1,517.93,159938,30052,24344
"472",2005,"Kyrgyz Republic","KGZ",56.0218978,23700,6.69447341,24.6285047,5307,4.33867392,-0.1755154,3.07,495.53,150370,29517,22410
"473",2006,"Kyrgyz Republic","KGZ",55.9494265,24531,6.69290928,22.196775,5362.3,5.55212333,3.10289875,3.01,475.38,154716,29633,20684
"474",2007,"Kyrgyz Republic","KGZ",55.9363921,24485,6.67361835,22.4546875,6473.1,10.2301033,8.54287476,2.95,461.9,158947,28236,19985
"475",2008,"Kyrgyz Republic","KGZ",55.9290928,24445,6.67101147,18.9738179,7441.5,24.5201024,8.40161606,2.89,455.54,157047,28548,19402
"476",2009,"Kyrgyz Republic","KGZ",55.3561001,7980.780488,6.6527633,22.0681818,6734.6,6.83656248,2.88629458,2.83,454.96,159993,33041,26285
"477",2010,"Kyrgyz Republic","KGZ",55.3279458,7774.04878,6.65380605,22.6594578,6394.4,7.96772226,-0.4715666,2.78,458.71,159644,32935,21674
"478",2011,"Kyrgyz Republic","KGZ",55.310219,7567.317073,6.65224192,19.1684301,7690.4,16.6363263,5.95627431,2.75,465.39,162543,30898,21445
"479",2012,"Kyrgyz Republic","KGZ",55.2205422,7360.585366,6.65589155,24.3161523,10146,2.76844237,-0.0881502,2.73,473.64,161034,32219,16751
"480",2013,"Kyrgyz Republic","KGZ",55.040146,7153.853659,6.66684046,27.4302026,9455,6.61375202,10.9154695,2.74,482.1,165456,34438,23654
"481",2014,"Kyrgyz Republic","KGZ",55.0422315,6947.121951,6.67674661,32.0006247,9848.5,7.5342473,4.02403863,2.77,489.61,167406,35016,16893
"482",2015,"Kyrgyz Republic","KGZ",55.0375391,6740.390244,6.67674661,10.4035843,10266.6,6.50331839,3.87582545,2.81,494.97,167642,35081,23701
"483",2016,"Kyrgyz Republic","KGZ",54.9588113,6533.658537,6.71428571,12.6933841,9675.6,0.3888383,4.33585592,2.88,497,168994,35185,24461
"484",2017,"Kyrgyz Republic","KGZ",54.9535975,6326.926829,6.71428571,7.69034788,9439,3.17530986,4.73993723,2.96,494.5,170537,35669,24053
"485",2018,"Kyrgyz Republic","KGZ",54.0709072,6120.195122,6.71532847,21.2298137,11306.8,1.54266145,3.75791013,3.06,487.02,171342,35945,24268
"486",2019,"Kyrgyz Republic","KGZ",54.0583942,5913.463415,6.71220021,22.6697219,10017.4,1.13362258,4.60062567,3.17,475.42,173444,36464,25093
"487",2020,"Kyrgyz Republic","KGZ",54.0552659,5706.731707,6.71220021,22.6464191,9080.1,6.32542296,-8.3983643,3.3,460.71,173906,37288,25465
"488",2021,"Kyrgyz Republic","KGZ",54.0464025,5500,6.71220021,22.6464191,21846.3,11.9050398,6.16763843,3.43,443.97,172101,37357,14531
"489",1961,"Kazakhstan","KAZ",75.74252648,6500,7.092356325,0.40429423,24170.03125,2.57230862,7.31941263,5.97,269.23,NA,NA,NA
"490",1962,"Kazakhstan","KAZ",76.59058846,7000,7.282434382,1.06687297,25331.89688,4.10593698,7.88190673,6.19,261.04,NA,NA,NA
"491",1963,"Kazakhstan","KAZ",77.43865045,7388,7.472512439,1.22681893,26493.7625,5.31263105,3.44802563,6.35,253.62,NA,NA,NA
"492",1964,"Kazakhstan","KAZ",78.28671244,9733,7.662590496,1.71663879,27655.62813,5.00045438,6.93867912,6.41,249.38,NA,NA,NA
"493",1965,"Kazakhstan","KAZ",77.13477443,12500,7.852668554,0.83609975,28817.49375,5.15611139,7.310661651,6.35,250.24,NA,NA,NA
"494",1966,"Kazakhstan","KAZ",77.98283642,15500,8.042746611,1.19039219,29979.35938,8.32716049,7.682644182,6.19,254.85,NA,NA,NA
"495",1967,"Kazakhstan","KAZ",78.7606401,18909,8.232824668,1.47829263,31141.225,4.36112219,8.054626713,5.97,260.73,NA,NA,NA
"496",1968,"Kazakhstan","KAZ",79.6663703,21000,8.422902725,1.42845639,32303.09063,7.03638316,8.426609244,5.75,265.42,NA,NA,NA
"497",1969,"Kazakhstan","KAZ",78.7841612,24000,8.612980783,1.37862015,33464.95625,8.8489857,8.798591775,5.57,266.39,NA,NA,NA
"498",1970,"Kazakhstan","KAZ",78.4479387,30513,8.80305884,1.32878391,34626.82188,10.9196569,9.170574305,5.47,261.39,NA,NA,NA
"499",1971,"Kazakhstan","KAZ",79.0713413,30165,8.993136897,1.27894767,35788.6875,7.00666667,9.542556836,5.47,251.14,NA,NA,NA
"500",1972,"Kazakhstan","KAZ",78.8981739,33000,9.183214955,1.22911143,36950.55313,8.27106094,9.914539367,5.54,238.6,NA,NA,NA
"501",1973,"Kazakhstan","KAZ",78.7756047,35714,9.373293012,1.17927519,38112.41875,4.54814395,10.2865219,5.66,226.9,NA,NA,NA
"502",1974,"Kazakhstan","KAZ",79.7606401,48600,9.563371069,1.12943895,39274.28438,3.21988689,10.65850443,5.83,219.04,NA,NA,NA
"503",1975,"Kazakhstan","KAZ",79.6663703,61500,9.753449126,1.07960271,40436.15,4.95508367,11.03048696,6,218.04,NA,NA,NA
"504",1976,"Kazakhstan","KAZ",79.7841612,74500,9.943527184,1.02976647,41598.01563,2.72396386,11.40246949,6.18,224.56,NA,NA,NA
"505",1977,"Kazakhstan","KAZ",79.4479387,87400,10.13360524,0.97993023,42759.88125,2.72643037,11.77445202,6.34,235.64,NA,NA,NA
"506",1978,"Kazakhstan","KAZ",79.0713413,97373,10.3236833,0.93009399,43921.74688,5.62936523,12.14643455,6.47,248.11,NA,NA,NA
"507",1979,"Kazakhstan","KAZ",78.8981739,112000,10.51376136,0.88025775,45083.6125,7.34681441,12.51841708,6.55,258.77,NA,NA,NA
"508",1980,"Kazakhstan","KAZ",79.7606401,122004,10.70383941,0.83042151,46245.47813,7.534323563,12.89039961,6.57,264.43,NA,NA,NA
"509",1981,"Kazakhstan","KAZ",79.6663703,139652,10.89391747,0.78058527,47407.34375,7.721832717,13.26238215,6.52,263.18,NA,NA,NA
"510",1982,"Kazakhstan","KAZ",79.7841612,157300,11.08399553,0.73074903,48569.20938,7.90934187,13.63436468,6.43,257.16,NA,NA,NA
"511",1983,"Kazakhstan","KAZ",79.4479387,156633,11.27407358,0.68091279,49731.075,8.096851023,14.00634721,6.32,249.26,NA,NA,NA
"512",1984,"Kazakhstan","KAZ",79.0713413,178400,11.46415164,0.63107655,50892.94063,8.284360177,14.37832974,6.23,242.38,NA,NA,NA
"513",1985,"Kazakhstan","KAZ",78.8981739,2e+05,11.6542297,0.58124031,52054.80625,8.47186933,14.75031227,6.19,239.44,NA,NA,NA
"514",1986,"Kazakhstan","KAZ",78.7756047,222000,11.84430776,0.53140407,53216.67188,14.3889707,15.1222948,6.22,242.77,NA,NA,NA
"515",1987,"Kazakhstan","KAZ",77.79213816,244000,12.03438581,0.48156783,54378.5375,-2.8083314,3.43977385,6.3,250.92,NA,NA,NA
"516",1988,"Kazakhstan","KAZ",78.64020015,265728,12.22446387,0.43173159,55540.40313,1.17986997,10.4310159,6.41,260.85,NA,NA,NA
"517",1989,"Kazakhstan","KAZ",79.48826214,271903,12.41454193,0.38189535,56702.26875,4.05759162,4.55665899,6.51,269.48,NA,NA,NA
"518",1990,"Kazakhstan","KAZ",80.33632412,283300,12.60461999,0.33205911,237250.9,15.2372785,4.028533,6.58,273.79,NA,NA,NA
"519",1991,"Kazakhstan","KAZ",81.18438611,268080,12.79469804,0.28222287,246366,-1.9995038,-11,6.59,270.92,NA,NA,NA
"520",1992,"Kazakhstan","KAZ",82.0324481,217435,12.9847761,1.35501355,253841.7,8.3890239,-5.3,6.54,261.4,105923,39915,13324
"521",1993,"Kazakhstan","KAZ",82.1376449,212082,12.9792199,1.24657534,219245.6,11.4297725,-9.2,6.46,248.69,96200,36871,9178
"522",1994,"Kazakhstan","KAZ",82.1020854,196242,12.846983,3.48874088,199170.1,18.773724,-12.6,6.39,236.28,95739,27937,7490
"523",1995,"Kazakhstan","KAZ",80.4483832,170185,12.8593918,2.73645097,175237.63,17.6155299,-8.2,6.37,227.68,84589,21932,5748
"524",1996,"Kazakhstan","KAZ",79.8139053,142383,12.2263955,3.96878295,153394.84,39.1825424,0.5,6.42,226.37,88347,26155,6835
"525",1997,"Kazakhstan","KAZ",79.894729,108121,12.057562,1.723407,132240.74,17.4080411,1.7,6.57,233.39,84078,30765,8449
"526",1998,"Kazakhstan","KAZ",79.7606401,64249,11.9105086,0.40429423,135838.36,7.14632666,-1.9,6.77,245.68,76679,32162,5200
"527",1999,"Kazakhstan","KAZ",79.6663703,54982,11.874023,1.06687297,122649.272,8.29602765,2.7,6.99,259.8,107532,28070,12868
"528",2000,"Kazakhstan","KAZ",79.7841612,52084,11.1713524,1.22681893,120151.999,13.1808906,9.8,7.21,272.36,106383,29723,9028
"529",2001,"Kazakhstan","KAZ",79.4479387,50811,10.8751713,1.71663879,117443.4,8.35413777,13.5,7.38,279.85,132897,28714,11803
"530",2002,"Kazakhstan","KAZ",79.0713413,50154,10.4996481,0.83609975,131067.44,5.83692452,9.8,7.49,280,139278,30288,10895
"531",2003,"Kazakhstan","KAZ",78.8981739,46669,10.4987962,1.19039219,146142.22,6.4382181,9.3,7.54,274.43,139057,32696,10250
"532",2004,"Kazakhstan","KAZ",78.7756047,45791,10.5488758,1.47829263,158029.6,6.88205439,9.6,7.53,265.63,134485,34182,8432
"533",2005,"Kazakhstan","KAZ",78.6331815,44116,10.5798052,1.42845639,169217.6,7.57999929,9.7,7.49,256.14,150135,33518,9480
"534",2006,"Kazakhstan","KAZ",78.4814979,43715,10.5996963,1.44674308,185299.3,8.72169386,10.7,7.42,248.44,153851,32966,11348
"535",2007,"Kazakhstan","KAZ",78.3181835,40228,10.6090306,2.05647808,198392.4,10.8468362,8.9,7.33,244.73,155792,33678,12983
"536",2008,"Kazakhstan","KAZ",78.1017891,252861,10.5640627,1.08345781,242038,17.1398998,3.3,7.23,245.02,144356,33736,9715
"537",2009,"Kazakhstan","KAZ",78.0765641,304992,10.6005112,1.97077384,213617.1,7.31607858,1.2,7.15,248.25,162092,35323,11941
"538",2010,"Kazakhstan","KAZ",80.439234,320417,10.6248102,2.04603295,229702.2,7.40046357,7.3,7.08,253.35,143194,39697,7336
"539",2011,"Kazakhstan","KAZ",80.3750417,331000,10.8088306,2.99555184,245455.3,8.42488762,7.4,7.04,259.26,167176,37152,16609
"540",2012,"Kazakhstan","KAZ",80.3837834,342000,10.8650961,4.42025058,244599,5.09791485,4.8,7.05,264.93,165927,37712,7929
"541",2013,"Kazakhstan","KAZ",80.377116,352600,10.8881357,2.88858196,260015.4,5.84640917,6,7.1,269.63,181522,38500,10762
"542",2014,"Kazakhstan","KAZ",80.3049969,326595,10.9161018,3.95270477,209261.3,6.70657829,4.2,7.18,272.95,184251,39573,10901
"543",2015,"Kazakhstan","KAZ",80.1050858,338884,10.9645887,4.29544848,191059.6,6.66577612,1.2,7.28,274.47,185500,42756,11882
"544",2016,"Kazakhstan","KAZ",80.0985665,351173,10.9798126,3.84025578,202475.7,14.5460238,1.1,7.4,273.79,190381,47480,12111
"545",2017,"Kazakhstan","KAZ",80.0880468,363462,10.9852947,5.33458138,214897.7,7.44000437,4.1,7.51,270.51,194161,46841,12427
